country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year ($),generation
Brazil,2009,female,35-54 years,768,25523153,0.0,1667019780934,Generation X
Brazil,2009,female,55-74 years,31,12124076,0.0,1667019780934,Boomers
Brazil,2009,female,25-34 years,351,16810330,0.0,1667019780934,Millennials
Brazil,2009,female,75+ years,58,2811556,0.0,1667019780934,Generation A
Brazil,2009,female,15-24 years,343,17321655,0.0,1667019780934,Millennials
Brazil,2009,male,5-14 years,62,17421892,0.0,1667019780934,Generation Z
Brazil,2009,female,5-14 years,52,16772250,0.0,1667019780934,Generation Z
Brazil,2010,male,75+ years,358,1882113,0.737,2208871646203,Generation A
Brazil,2010,male,55-74 years,1236,10813388,0.737,2208871646203,Boomers
Brazil,2010,male,25-34 years,1832,17023785,0.737,2208871646203,Millennials
Brazil,2010,male,35-54 years,2586,24501254,0.737,2208871646203,Generation X
Brazil,2010,male,15-24 years,1288,17726866,0.737,2208871646203,Millennials
Brazil,2010,female,35-54 years,835,26004856,0.737,2208871646203,Generation X
Brazil,2010,female,55-74 years,339,12605588,0.737,2208871646203,Boomers
Brazil,2010,female,75+ years,79,2940677,0.737,2208871646203,Generation A
Brazil,2010,female,25-34 years,44,17054489,0.737,2208871646203,Millennials
Brazil,2010,female,15-24 years,368,17237481,0.737,2208871646203,Millennials
Brazil,2010,male,5-14 years,56,17242386,0.737,2208871646203,Generation Z
Brazil,2010,female,5-14 years,48,16596829,0.737,2208871646203,Generation Z
Brazil,2011,male,75+ years,352,2002447,0.742,2616201578192,Generation A
Brazil,2011,male,55-74 years,1323,11208705,0.742,2616201578192,Boomers
Brazil,2011,male,25-34 years,197,17249585,0.742,2616201578192,Millennials
Brazil,2011,male,35-54 years,2754,24975171,0.742,2616201578192,Generation X
Brazil,2011,male,15-24 years,1335,17674787,0.742,2616201578192,Generation Z
Brazil,2011,female,35-54 years,85,26488792,0.742,2616201578192,Generation X
Brazil,2011,female,55-74 years,352,13063915,0.742,2616201578192,Boomers
Brazil,2011,female,15-24 years,413,17180849,0.742,2616201578192,Generation Z
Brazil,2011,female,25-34 years,4,17253232,0.742,2616201578192,Millennials
Brazil,2011,female,75+ years,71,3110432,0.742,2616201578192,Generation A
Brazil,2011,male,5-14 years,63,17044425,0.742,2616201578192,Generation Z
Brazil,2011,female,5-14 years,47,16404101,0.742,2616201578192,Generation Z
Brazil,2012,male,75+ years,376,2123165,0.746,2465188674415,Generation A
Brazil,2012,male,55-74 years,1458,11612925,0.746,2465188674415,Boomers
Brazil,2012,male,35-54 years,2885,25463652,0.746,2465188674415,Generation X
Brazil,2012,male,25-34 years,193,17418954,0.746,2465188674415,Millennials
Brazil,2012,male,15-24 years,1313,17644319,0.746,2465188674415,Generation Z
Brazil,2012,female,35-54 years,877,26979566,0.746,2465188674415,Generation X
Brazil,2012,female,55-74 years,418,13532752,0.746,2465188674415,Boomers
Brazil,2012,female,25-34 years,455,17398447,0.746,2465188674415,Millennials
Brazil,2012,female,75+ years,8,3285641,0.746,2465188674415,Generation A
Brazil,2012,female,15-24 years,383,17145894,0.746,2465188674415,Generation Z
Brazil,2012,male,5-14 years,79,16810876,0.746,2465188674415,Generation Z
Brazil,2012,female,5-14 years,41,16175024,0.746,2465188674415,Generation Z
Brazil,2013,male,75+ years,37,2240434,0.752,2472806919902,Generation A
Brazil,2013,male,55-74 years,1474,12036068,0.752,2472806919902,Boomers
Brazil,2013,male,35-54 years,353,25965164,0.752,2472806919902,Generation X
Brazil,2013,male,25-34 years,24,17534209,0.752,2472806919902,Millennials
Brazil,2013,male,15-24 years,1317,17627508,0.752,2472806919902,Generation Z
Brazil,2013,female,35-54 years,897,27475364,0.752,2472806919902,Generation X
Brazil,2013,female,55-74 years,433,14022927,0.752,2472806919902,Boomers
Brazil,2013,female,75+ years,88,3462431,0.752,2472806919902,Generation A
Brazil,2013,female,25-34 years,393,17492228,0.752,2472806919902,Millennials
Brazil,2013,female,15-24 years,362,17123318,0.752,2472806919902,Generation Z
Brazil,2013,male,5-14 years,72,16555477,0.752,2472806919902,Generation Z
Brazil,2013,female,5-14 years,5,15923724,0.752,2472806919902,Generation Z
Brazil,2014,male,75+ years,39,2349303,0.755,2455993625159,Generation A
Brazil,2014,male,55-74 years,1534,12492114,0.755,2455993625159,Boomers
Brazil,2014,male,35-54 years,35,26475231,0.755,2455993625159,Generation X
Brazil,2014,male,25-34 years,1982,17601477,0.755,2455993625159,Millennials
Brazil,2014,male,15-24 years,1358,17606681,0.755,2455993625159,Generation Z
Brazil,2014,female,35-54 years,871,27971096,0.755,2455993625159,Generation X
Brazil,2014,female,55-74 years,389,14550395,0.755,2455993625159,Boomers
Brazil,2014,female,25-34 years,457,17539955,0.755,2455993625159,Millennials
Brazil,2014,female,75+ years,83,3634999,0.755,2455993625159,Generation A
Brazil,2014,female,15-24 years,371,17094729,0.755,2455993625159,Generation Z
Brazil,2014,male,5-14 years,84,16299015,0.755,2455993625159,Generation Z
Brazil,2014,female,5-14 years,62,15670559,0.755,2455993625159,Generation Z
Brazil,2015,male,75+ years,47,2448560,0.0,1802214373741,Generation A
Brazil,2015,male,55-74 years,1693,12987357,0.0,1802214373741,Boomers
Brazil,2015,male,35-54 years,3238,26989063,0.0,1802214373741,Generation X
Brazil,2015,male,25-34 years,1897,17625976,0.0,1802214373741,Millennials
Brazil,2015,male,15-24 years,1389,17569045,0.0,1802214373741,Generation Z
Brazil,2015,female,35-54 years,91,28461855,0.0,1802214373741,Generation X
Brazil,2015,female,55-74 years,479,15122216,0.0,1802214373741,Boomers
Brazil,2015,female,25-34 years,466,17546090,0.0,1802214373741,Millennials
Brazil,2015,female,75+ years,89,3802086,0.0,1802214373741,Generation A
Brazil,2015,female,15-24 years,397,17047218,0.0,1802214373741,Generation Z
Brazil,2015,male,5-14 years,79,16057040,0.0,1802214373741,Generation Z
Brazil,2015,female,5-14 years,56,15430579,0.0,1802214373741,Generation Z
Bulgaria,1985,male,75+ years,218,166200,0.6859999999999999,17155421053,Generation A
Bulgaria,1985,female,75+ years,94,222700,0.6859999999999999,17155421053,Generation A
Bulgaria,1985,male,55-74 years,345,881600,0.6859999999999999,17155421053,Silent
Bulgaria,1985,male,35-54 years,278,1217500,0.6859999999999999,17155421053,Boomers
Bulgaria,1985,female,55-74 years,168,952200,0.6859999999999999,17155421053,Silent
Bulgaria,1985,male,25-34 years,15,624800,0.6859999999999999,17155421053,Boomers
Bulgaria,1985,male,15-24 years,77,603600,0.6859999999999999,17155421053,Generation X
Bulgaria,1985,female,35-54 years,91,1228400,0.6859999999999999,17155421053,Boomers
Bulgaria,1985,female,25-34 years,36,619200,0.6859999999999999,17155421053,Boomers
Bulgaria,1985,female,15-24 years,31,575700,0.6859999999999999,17155421053,Generation X
Bulgaria,1985,male,5-14 years,11,667800,0.6859999999999999,17155421053,Generation X
Bulgaria,1985,female,5-14 years,2,632800,0.6859999999999999,17155421053,Generation X
Bulgaria,1986,male,75+ years,172,165700,0.0,20249294118,Generation A
Bulgaria,1986,female,75+ years,96,223100,0.0,20249294118,Generation A
Bulgaria,1986,male,55-74 years,314,881400,0.0,20249294118,Silent
Bulgaria,1986,male,35-54 years,29,1217600,0.0,20249294118,Boomers
Bulgaria,1986,male,25-34 years,123,624900,0.0,20249294118,Boomers
Bulgaria,1986,female,55-74 years,184,951900,0.0,20249294118,Silent
Bulgaria,1986,male,15-24 years,64,603700,0.0,20249294118,Generation X
Bulgaria,1986,female,35-54 years,92,1228100,0.0,20249294118,Boomers
Bulgaria,1986,female,15-24 years,38,575900,0.0,20249294118,Generation X
Bulgaria,1986,female,25-34 years,2,618800,0.0,20249294118,Boomers
Bulgaria,1986,male,5-14 years,12,667500,0.0,20249294118,Millennials
Bulgaria,1986,female,5-14 years,3,632900,0.0,20249294118,Millennials
Bulgaria,1987,male,75+ years,228,172900,0.0,28101000000,Generation A
Bulgaria,1987,female,75+ years,11,238800,0.0,28101000000,Generation A
Bulgaria,1987,male,55-74 years,346,849500,0.0,28101000000,Silent
Bulgaria,1987,male,35-54 years,283,1181700,0.0,28101000000,Boomers
Bulgaria,1987,female,55-74 years,177,946200,0.0,28101000000,Silent
Bulgaria,1987,male,25-34 years,11,634200,0.0,28101000000,Boomers
Bulgaria,1987,male,15-24 years,81,619800,0.0,28101000000,Generation X
Bulgaria,1987,female,35-54 years,81,1197400,0.0,28101000000,Boomers
Bulgaria,1987,female,15-24 years,35,595300,0.0,28101000000,Generation X
Bulgaria,1987,female,25-34 years,28,625200,0.0,28101000000,Boomers
Bulgaria,1987,male,5-14 years,15,674100,0.0,28101000000,Millennials
Bulgaria,1987,female,5-14 years,7,640300,0.0,28101000000,Millennials
Bulgaria,1988,male,75+ years,24,172700,0.0,22555941176,Generation A
Bulgaria,1988,female,75+ years,12,241000,0.0,22555941176,Generation A
Bulgaria,1988,male,55-74 years,345,860200,0.0,22555941176,Silent
Bulgaria,1988,male,35-54 years,278,1180000,0.0,22555941176,Boomers
Bulgaria,1988,female,55-74 years,165,962400,0.0,22555941176,Silent
Bulgaria,1988,male,25-34 years,99,629400,0.0,22555941176,Boomers
Bulgaria,1988,male,15-24 years,78,624000,0.0,22555941176,Generation X
Bulgaria,1988,female,35-54 years,79,1197300,0.0,22555941176,Boomers
Bulgaria,1988,female,25-34 years,39,620000,0.0,22555941176,Boomers
Bulgaria,1988,female,15-24 years,37,598100,0.0,22555941176,Generation X
Bulgaria,1988,male,5-14 years,21,669200,0.0,22555941176,Millennials
Bulgaria,1988,female,5-14 years,5,635500,0.0,22555941176,Millennials
Bulgaria,1989,male,75+ years,213,174000,0.0,21988444444,Generation A
Bulgaria,1989,male,55-74 years,345,869600,0.0,21988444444,Silent
Bulgaria,1989,female,75+ years,95,244200,0.0,21988444444,Generation A
Bulgaria,1989,male,35-54 years,289,1177800,0.0,21988444444,Boomers
Bulgaria,1989,female,55-74 years,171,977600,0.0,21988444444,Silent
Bulgaria,1989,male,25-34 years,17,623900,0.0,21988444444,Boomers
Bulgaria,1989,male,15-24 years,69,633700,0.0,21988444444,Generation X
Bulgaria,1989,female,35-54 years,83,1196400,0.0,21988444444,Boomers
Bulgaria,1989,female,15-24 years,39,606700,0.0,21988444444,Generation X
Bulgaria,1989,female,25-34 years,28,614200,0.0,21988444444,Boomers
Bulgaria,1989,male,5-14 years,18,659300,0.0,21988444444,Millennials
Bulgaria,1989,female,5-14 years,3,625800,0.0,21988444444,Millennials
Bulgaria,1990,male,75+ years,174,179200,0.695,20632090909,Generation A
Bulgaria,1990,female,75+ years,98,252100,0.695,20632090909,Generation A
Bulgaria,1990,male,55-74 years,294,873400,0.695,20632090909,Silent
Bulgaria,1990,male,35-54 years,242,1177100,0.695,20632090909,Boomers
Bulgaria,1990,male,25-34 years,16,617000,0.695,20632090909,Generation X
Bulgaria,1990,female,55-74 years,161,986100,0.695,20632090909,Silent
Bulgaria,1990,male,15-24 years,9,646500,0.695,20632090909,Generation X
Bulgaria,1990,female,35-54 years,86,1197400,0.695,20632090909,Boomers
Bulgaria,1990,female,25-34 years,3,606700,0.695,20632090909,Generation X
Bulgaria,1990,female,15-24 years,26,618000,0.695,20632090909,Generation X
Bulgaria,1990,male,5-14 years,14,649200,0.695,20632090909,Millennials
Bulgaria,1990,female,5-14 years,2,615800,0.695,20632090909,Millennials
Bulgaria,1991,male,75+ years,23,176700,0.0,10943548387,Generation A
Bulgaria,1991,male,55-74 years,36,880600,0.0,10943548387,Silent
Bulgaria,1991,female,75+ years,74,250600,0.0,10943548387,Generation A
Bulgaria,1991,male,35-54 years,289,1180500,0.0,10943548387,Boomers
Bulgaria,1991,female,55-74 years,188,999700,0.0,10943548387,Silent
Bulgaria,1991,male,25-34 years,111,608100,0.0,10943548387,Generation X
Bulgaria,1991,male,15-24 years,8,659600,0.0,10943548387,Generation X
Bulgaria,1991,female,35-54 years,69,1202100,0.0,10943548387,Boomers
Bulgaria,1991,female,25-34 years,23,596900,0.0,10943548387,Generation X
Bulgaria,1991,female,15-24 years,23,630000,0.0,10943548387,Generation X
Bulgaria,1991,male,5-14 years,12,639800,0.0,10943548387,Millennials
Bulgaria,1991,female,5-14 years,6,607300,0.0,10943548387,Millennials
Bulgaria,1992,male,75+ years,26,164500,0.0,10350515464,Generation A
Bulgaria,1992,female,75+ years,14,234600,0.0,10350515464,Generation A
Bulgaria,1992,male,55-74 years,367,874400,0.0,10350515464,Silent
Bulgaria,1992,male,35-54 years,319,1126700,0.0,10350515464,Boomers
Bulgaria,1992,male,25-34 years,112,560600,0.0,10350515464,Generation X
Bulgaria,1992,female,55-74 years,166,995100,0.0,10350515464,Silent
Bulgaria,1992,male,15-24 years,98,626200,0.0,10350515464,Generation X
Bulgaria,1992,female,35-54 years,81,1154800,0.0,10350515464,Boomers
Bulgaria,1992,female,25-34 years,27,552500,0.0,10350515464,Generation X
Bulgaria,1992,female,15-24 years,29,601100,0.0,10350515464,Generation X
Bulgaria,1992,male,5-14 years,6,591000,0.0,10350515464,Millennials
Bulgaria,1992,female,5-14 years,4,560000,0.0,10350515464,Millennials
Bulgaria,1993,male,75+ years,141,156400,0.0,10829710145,Generation A
Bulgaria,1993,female,75+ years,96,225400,0.0,10829710145,Generation A
Bulgaria,1993,male,55-74 years,351,879900,0.0,10829710145,Silent
Bulgaria,1993,male,35-54 years,38,1122800,0.0,10829710145,Boomers
Bulgaria,1993,male,25-34 years,116,554600,0.0,10829710145,Generation X
Bulgaria,1993,female,55-74 years,197,1008800,0.0,10829710145,Silent
Bulgaria,1993,male,15-24 years,97,628100,0.0,10829710145,Generation X
Bulgaria,1993,female,25-34 years,45,545500,0.0,10829710145,Generation X
Bulgaria,1993,female,35-54 years,72,1154100,0.0,10829710145,Boomers
Bulgaria,1993,female,15-24 years,34,602700,0.0,10829710145,Generation X
Bulgaria,1993,male,5-14 years,1,576500,0.0,10829710145,Millennials
Bulgaria,1993,female,5-14 years,3,546200,0.0,10829710145,Millennials
Bulgaria,1994,male,75+ years,175,155600,0.0,9697416974,Generation A
Bulgaria,1994,male,55-74 years,364,876800,0.0,9697416974,Silent
Bulgaria,1994,female,75+ years,86,225000,0.0,9697416974,Generation A
Bulgaria,1994,male,35-54 years,329,1125000,0.0,9697416974,Boomers
Bulgaria,1994,female,55-74 years,16,1013800,0.0,9697416974,Silent
Bulgaria,1994,male,25-34 years,87,558000,0.0,9697416974,Generation X
Bulgaria,1994,male,15-24 years,84,629400,0.0,9697416974,Generation X
Bulgaria,1994,female,35-54 years,13,1158400,0.0,9697416974,Boomers
Bulgaria,1994,female,25-34 years,33,547900,0.0,9697416974,Generation X
Bulgaria,1994,female,15-24 years,3,602800,0.0,9697416974,Generation X
Bulgaria,1994,male,5-14 years,9,566000,0.0,9697416974,Millennials
Bulgaria,1994,female,5-14 years,4,536800,0.0,9697416974,Millennials
Bulgaria,1995,male,75+ years,169,161300,0.696,13063422619,Generation A
Bulgaria,1995,male,55-74 years,349,866200,0.696,13063422619,Silent
Bulgaria,1995,female,75+ years,83,233300,0.696,13063422619,Generation A
Bulgaria,1995,male,35-54 years,37,1127000,0.696,13063422619,Boomers
Bulgaria,1995,female,55-74 years,184,1009300,0.696,13063422619,Silent
Bulgaria,1995,male,25-34 years,11,562200,0.696,13063422619,Generation X
Bulgaria,1995,male,15-24 years,87,627900,0.696,13063422619,Generation X
Bulgaria,1995,female,35-54 years,79,1162300,0.696,13063422619,Boomers
Bulgaria,1995,female,25-34 years,37,550300,0.696,13063422619,Generation X
Bulgaria,1995,female,15-24 years,24,601300,0.696,13063422619,Generation X
Bulgaria,1995,male,5-14 years,7,555500,0.696,13063422619,Millennials
Bulgaria,1995,female,5-14 years,6,527300,0.696,13063422619,Millennials
Bulgaria,1996,male,75+ years,191,166200,0.0,10109612142,Generation A
Bulgaria,1996,male,55-74 years,351,855500,0.0,10109612142,Silent
Bulgaria,1996,female,75+ years,94,242600,0.0,10109612142,Generation A
Bulgaria,1996,male,35-54 years,376,1129300,0.0,10109612142,Boomers
Bulgaria,1996,female,55-74 years,168,1002600,0.0,10109612142,Silent
Bulgaria,1996,male,25-34 years,91,564800,0.0,10109612142,Generation X
Bulgaria,1996,male,15-24 years,95,626300,0.0,10109612142,Millennials
Bulgaria,1996,female,35-54 years,9,1165500,0.0,10109612142,Boomers
Bulgaria,1996,female,25-34 years,31,551000,0.0,10109612142,Generation X
Bulgaria,1996,female,15-24 years,25,599600,0.0,10109612142,Millennials
Bulgaria,1996,female,5-14 years,7,516300,0.0,10109612142,Millennials
Bulgaria,1996,male,5-14 years,7,543600,0.0,10109612142,Millennials
Bulgaria,1997,male,75+ years,168,170100,0.0,11195612105,Generation A
Bulgaria,1997,male,55-74 years,348,844400,0.0,11195612105,Silent
Bulgaria,1997,female,75+ years,95,251000,0.0,11195612105,Generation A
Bulgaria,1997,male,35-54 years,31,1130700,0.0,11195612105,Boomers
Bulgaria,1997,female,55-74 years,198,994900,0.0,11195612105,Silent
Bulgaria,1997,male,25-34 years,87,566600,0.0,11195612105,Generation X
Bulgaria,1997,male,15-24 years,88,625200,0.0,11195612105,Millennials
Bulgaria,1997,female,35-54 years,13,1168000,0.0,11195612105,Boomers
Bulgaria,1997,female,25-34 years,31,550900,0.0,11195612105,Generation X
Bulgaria,1997,female,15-24 years,29,598000,0.0,11195612105,Millennials
Bulgaria,1997,male,5-14 years,1,530100,0.0,11195612105,Millennials
Bulgaria,1997,female,5-14 years,7,504000,0.0,11195612105,Millennials
Bulgaria,1998,male,75+ years,21,174000,0.0,14630992956,Generation A
Bulgaria,1998,female,75+ years,131,260000,0.0,14630992956,Generation A
Bulgaria,1998,male,55-74 years,359,833300,0.0,14630992956,Silent
Bulgaria,1998,male,35-54 years,299,1130500,0.0,14630992956,Boomers
Bulgaria,1998,male,25-34 years,95,568800,0.0,14630992956,Generation X
Bulgaria,1998,female,55-74 years,156,986700,0.0,14630992956,Silent
Bulgaria,1998,male,15-24 years,92,623300,0.0,14630992956,Millennials
Bulgaria,1998,female,35-54 years,9,1168900,0.0,14630992956,Boomers
Bulgaria,1998,female,25-34 years,33,552600,0.0,14630992956,Generation X
Bulgaria,1998,female,15-24 years,35,594600,0.0,14630992956,Millennials
Bulgaria,1998,male,5-14 years,9,516100,0.0,14630992956,Millennials
Bulgaria,1998,female,5-14 years,3,490700,0.0,14630992956,Millennials
Bulgaria,1999,male,75+ years,178,179600,0.0,13495075366,Generation A
Bulgaria,1999,male,55-74 years,318,822900,0.0,13495075366,Silent
Bulgaria,1999,female,75+ years,76,270700,0.0,13495075366,Generation A
Bulgaria,1999,male,35-54 years,31,1130200,0.0,13495075366,Boomers
Bulgaria,1999,male,25-34 years,87,576100,0.0,13495075366,Generation X
Bulgaria,1999,female,55-74 years,134,978500,0.0,13495075366,Silent
Bulgaria,1999,male,15-24 years,74,616600,0.0,13495075366,Millennials
Bulgaria,1999,female,35-54 years,8,1168900,0.0,13495075366,Boomers
Bulgaria,1999,female,25-34 years,29,560000,0.0,13495075366,Generation X
Bulgaria,1999,female,15-24 years,2,586400,0.0,13495075366,Millennials
Bulgaria,1999,male,5-14 years,7,500600,0.0,13495075366,Millennials
Bulgaria,1999,female,5-14 years,3,476100,0.0,13495075366,Millennials
Bulgaria,2000,male,75+ years,18,186383,0.713,13153016531,Generation A
Bulgaria,2000,male,55-74 years,289,813692,0.713,13153016531,Silent
Bulgaria,2000,female,75+ years,1,282130,0.713,13153016531,Generation A
Bulgaria,2000,male,35-54 years,371,1127394,0.713,13153016531,Generation X
Bulgaria,2000,male,25-34 years,12,587705,0.713,13153016531,Generation X
Bulgaria,2000,female,55-74 years,128,971686,0.713,13153016531,Silent
Bulgaria,2000,male,15-24 years,54,605944,0.713,13153016531,Millennials
Bulgaria,2000,female,35-54 years,97,1165489,0.713,13153016531,Generation X
Bulgaria,2000,female,25-34 years,37,570536,0.713,13153016531,Generation X
Bulgaria,2000,female,15-24 years,2,575493,0.713,13153016531,Millennials
Bulgaria,2000,male,5-14 years,5,482907,0.713,13153016531,Millennials
Bulgaria,2000,female,5-14 years,0,459736,0.713,13153016531,Millennials
Bulgaria,2001,male,75+ years,162,192843,0.0,14075616789,Generation A
Bulgaria,2001,male,55-74 years,321,805300,0.0,14075616789,Boomers
Bulgaria,2001,female,75+ years,11,298153,0.0,14075616789,Generation A
Bulgaria,2001,male,35-54 years,31,1099625,0.0,14075616789,Generation X
Bulgaria,2001,male,25-34 years,1,569711,0.0,14075616789,Generation X
Bulgaria,2001,female,55-74 years,118,963174,0.0,14075616789,Boomers
Bulgaria,2001,male,15-24 years,63,569649,0.0,14075616789,Millennials
Bulgaria,2001,female,35-54 years,94,1123319,0.0,14075616789,Generation X
Bulgaria,2001,female,15-24 years,25,539883,0.0,14075616789,Millennials
Bulgaria,2001,female,25-34 years,21,549756,0.0,14075616789,Generation X
Bulgaria,2001,female,5-14 years,4,429090,0.0,14075616789,Generation Z
Bulgaria,2001,male,5-14 years,4,451423,0.0,14075616789,Generation Z
Bulgaria,2002,male,75+ years,181,198560,0.0,16276456428,Generation A
Bulgaria,2002,male,55-74 years,328,804080,0.0,16276456428,Boomers
Bulgaria,2002,female,75+ years,95,308008,0.0,16276456428,Generation A
Bulgaria,2002,male,35-54 years,315,1087841,0.0,16276456428,Generation X
Bulgaria,2002,male,25-34 years,1,579234,0.0,16276456428,Generation X
Bulgaria,2002,female,55-74 years,117,964392,0.0,16276456428,Boomers
Bulgaria,2002,male,15-24 years,51,562398,0.0,16276456428,Millennials
Bulgaria,2002,female,35-54 years,77,1110364,0.0,16276456428,Generation X
Bulgaria,2002,female,15-24 years,23,533586,0.0,16276456428,Millennials
Bulgaria,2002,female,25-34 years,21,557945,0.0,16276456428,Generation X
Bulgaria,2002,male,5-14 years,6,429978,0.0,16276456428,Generation Z
Bulgaria,2002,female,5-14 years,3,408024,0.0,16276456428,Generation Z
Bulgaria,2003,male,75+ years,164,202364,0.0,20982685981,Generation A
Bulgaria,2003,male,55-74 years,251,803660,0.0,20982685981,Boomers
Bulgaria,2003,male,35-54 years,261,1080294,0.0,20982685981,Generation X
Bulgaria,2003,female,75+ years,75,315963,0.0,20982685981,Generation A
Bulgaria,2003,male,25-34 years,69,583953,0.0,20982685981,Generation X
Bulgaria,2003,female,55-74 years,18,966825,0.0,20982685981,Boomers
Bulgaria,2003,male,15-24 years,49,555686,0.0,20982685981,Millennials
Bulgaria,2003,female,35-54 years,67,1101408,0.0,20982685981,Generation X
Bulgaria,2003,female,25-34 years,23,561600,0.0,20982685981,Generation X
Bulgaria,2003,female,15-24 years,13,527203,0.0,20982685981,Millennials
Bulgaria,2003,female,5-14 years,6,386539,0.0,20982685981,Generation Z
Bulgaria,2003,male,5-14 years,6,407671,0.0,20982685981,Generation Z
Bulgaria,2004,male,75+ years,142,206158,0.0,25957970922,Generation A
Bulgaria,2004,male,55-74 years,247,805166,0.0,25957970922,Boomers
Bulgaria,2004,male,35-54 years,238,1075305,0.0,25957970922,Generation X
Bulgaria,2004,female,75+ years,58,323883,0.0,25957970922,Generation A
Bulgaria,2004,male,25-34 years,74,584214,0.0,25957970922,Generation X
Bulgaria,2004,female,55-74 years,15,971907,0.0,25957970922,Boomers
Bulgaria,2004,male,15-24 years,4,548773,0.0,25957970922,Millennials
Bulgaria,2004,female,35-54 years,75,1094568,0.0,25957970922,Generation X
Bulgaria,2004,female,25-34 years,14,560854,0.0,25957970922,Generation X
Bulgaria,2004,female,15-24 years,12,520846,0.0,25957970922,Millennials
Bulgaria,2004,male,5-14 years,5,387953,0.0,25957970922,Generation Z
Bulgaria,2004,female,5-14 years,3,367936,0.0,25957970922,Generation Z
Bulgaria,2005,male,75+ years,126,209811,0.7490000000000001,29636617750,Generation A
Bulgaria,2005,male,55-74 years,269,807787,0.7490000000000001,29636617750,Boomers
Bulgaria,2005,female,75+ years,71,331686,0.7490000000000001,29636617750,Generation A
Bulgaria,2005,male,35-54 years,214,1068843,0.7490000000000001,29636617750,Generation X
Bulgaria,2005,male,25-34 years,76,583573,0.7490000000000001,29636617750,Generation X
Bulgaria,2005,female,55-74 years,84,978437,0.7490000000000001,29636617750,Boomers
Bulgaria,2005,male,15-24 years,39,540814,0.7490000000000001,29636617750,Millennials
Bulgaria,2005,female,35-54 years,56,1085400,0.7490000000000001,29636617750,Generation X
Bulgaria,2005,female,15-24 years,2,513893,0.7490000000000001,29636617750,Millennials
Bulgaria,2005,female,25-34 years,21,559525,0.7490000000000001,29636617750,Generation X
Bulgaria,2005,female,5-14 years,3,352518,0.7490000000000001,29636617750,Generation Z
Bulgaria,2005,male,5-14 years,3,371764,0.7490000000000001,29636617750,Generation Z
Bulgaria,2006,male,75+ years,154,212480,0.0,34130122491,Generation A
Bulgaria,2006,male,55-74 years,274,807552,0.0,34130122491,Boomers
Bulgaria,2006,female,75+ years,71,338232,0.0,34130122491,Generation A
Bulgaria,2006,male,35-54 years,196,1063959,0.0,34130122491,Generation X
Bulgaria,2006,male,25-34 years,79,582969,0.0,34130122491,Millennials
Bulgaria,2006,male,15-24 years,45,531167,0.0,34130122491,Millennials
Bulgaria,2006,female,55-74 years,73,981962,0.0,34130122491,Boomers
Bulgaria,2006,female,35-54 years,53,1077713,0.0,34130122491,Generation X
Bulgaria,2006,female,25-34 years,17,558543,0.0,34130122491,Millennials
Bulgaria,2006,female,15-24 years,11,504961,0.0,34130122491,Millennials
Bulgaria,2006,male,5-14 years,4,358730,0.0,34130122491,Generation Z
Bulgaria,2006,female,5-14 years,0,340240,0.0,34130122491,Generation Z
Bulgaria,2007,male,75+ years,151,215225,0.0,44411476557,Generation A
Bulgaria,2007,male,55-74 years,238,804233,0.0,44411476557,Boomers
Bulgaria,2007,female,75+ years,7,344739,0.0,44411476557,Generation A
Bulgaria,2007,male,35-54 years,18,1061001,0.0,44411476557,Generation X
Bulgaria,2007,male,25-34 years,55,583293,0.0,44411476557,Millennials
Bulgaria,2007,female,55-74 years,82,981661,0.0,44411476557,Boomers
Bulgaria,2007,male,15-24 years,39,518624,0.0,44411476557,Millennials
Bulgaria,2007,female,35-54 years,58,1072051,0.0,44411476557,Generation X
Bulgaria,2007,female,25-34 years,15,558209,0.0,44411476557,Millennials
Bulgaria,2007,female,15-24 years,9,493056,0.0,44411476557,Millennials
Bulgaria,2007,female,5-14 years,5,331138,0.0,44411476557,Generation Z
Bulgaria,2007,male,5-14 years,0,349244,0.0,44411476557,Generation Z
Bulgaria,2008,male,75+ years,132,218689,0.0,54409138498,Generation A
Bulgaria,2008,male,55-74 years,248,801793,0.0,54409138498,Boomers
Bulgaria,2008,male,35-54 years,25,1058360,0.0,54409138498,Generation X
Bulgaria,2008,female,75+ years,66,352453,0.0,54409138498,Generation A
Bulgaria,2008,female,55-74 years,16,980953,0.0,54409138498,Boomers
Bulgaria,2008,male,25-34 years,6,581969,0.0,54409138498,Millennials
Bulgaria,2008,male,15-24 years,48,504391,0.0,54409138498,Millennials
Bulgaria,2008,female,35-54 years,41,1066979,0.0,54409138498,Generation X
Bulgaria,2008,female,25-34 years,21,555973,0.0,54409138498,Millennials
Bulgaria,2008,female,15-24 years,1,479334,0.0,54409138498,Millennials
Bulgaria,2008,female,5-14 years,1,324354,0.0,54409138498,Generation Z
Bulgaria,2008,male,5-14 years,1,342263,0.0,54409138498,Generation Z
Bulgaria,2009,male,75+ years,12,222390,0.0,51884481410,Generation A
Bulgaria,2009,male,55-74 years,241,799938,0.0,51884481410,Boomers
Bulgaria,2009,male,35-54 years,211,1058524,0.0,51884481410,Generation X
Bulgaria,2009,female,75+ years,63,360613,0.0,51884481410,Generation A
Bulgaria,2009,male,25-34 years,6,575940,0.0,51884481410,Millennials
Bulgaria,2009,female,55-74 years,72,979605,0.0,51884481410,Boomers
